Race,Date,Place,Time,Category,Sex,Country,Lane,Person 1,Person 2,split time 1,split time 2,split time 3,Total Time,Final Rank,Air Temp,Wind Speed,Wind Direction,Day,Month,Year,Competiton Type_WORLD CHAMP,Competiton Type_WORLD CUP,Competiton Type_WORLDCHAMPIONSHIPS,Competiton Type_WORLDCHAMPIONSHIPS  ,Competiton Type_WORLDCUP,Competition Round_FINAL A,Competition Round_FINAL B,Competition Round_FINAL C,Competition Round_HEAT,Competition Round_SEMI FINAL,Competition Round_SEMIFINAL
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,FIN,8.0,Hakala Jeremy,Nykänen Miika,52,106,164,226,7.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,KGZ,1.0,Bondar Maksim,Algin Ilia,51,109,164,227,8.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,CHN,5.0,Li Kai,Liu Lifan,54,119,188,250,9.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,POR,4.0,Pimenta Fernando,Silva Emanuel,48,104,162,218,1.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,GBR,1.0,Rutherford Edward,Daniels Andrew,51,106,165,220,2.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,SRB,8.0,Pajic Dejan,Stanojevic Dusko,51,108,166,220,3.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,BLR,5.0,Liapioshka Aliaksandr,Bialko Vitaliy,49,108,167,220,4.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,HUN,2.0,Bozsik Gábor,Császár Gergely,53,109,167,221,5.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,NOR,6.0,Salbu Daniel,Solhaug Jo Sondre,53,110,167,222,6.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:48,10.05.2013,SZEGED,10:48,SEN,M,POL,3.0,Brzezinski Martin,Warszawski Oskar,54,109,166,223,7.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
